id,name,strDrinkAlternate,strCategory,strArea,strMealThumb,strYoutube,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient16,strIngredient17,strIngredient18,strIngredient19,strIngredient20,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strMeasure16,strMeasure17,strMeasure18,strMeasure19,strMeasure20,strSource
52910,Chinon Apple Tarts,,Dessert,French,https://www.themealdb.com/images/media/meals/qtqwwu1511792650.jpg,https://www.youtube.com/watch?v=5dAW9HQgtCk,Puff Pastry,Dark Brown Soft Sugar,Braeburn Apples,Red Wine Jelly,Creme Fraiche,Icing Sugar,Cardamom,,,,,,,,,,,,,,320g,4 tbs,3,4 tbs,100ml,1 tbs,3,,,,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/chinon-apple-tarts
52856,Choc Chip Pecan Pie,,Dessert,American,https://www.themealdb.com/images/media/meals/rqvwxt1511384809.jpg,https://www.youtube.com/watch?v=fDpoT0jvg4Y,Plain Flour,Butter,Cream Cheese,Icing Sugar,Butter,Maple Syrup,Light Brown Soft Sugar,Dark Brown Soft Sugar,Eggs,Vanilla Extract,Pecan Nuts,Dark Chocolate Chips,,,,,,,,,300g,75g,100g ,1 tbls,150g,200ml,250g,100g ,4,1 tsp ,400g,200g,,,,,,,,,https://www.bbcgoodfood.com/recipes/choc-chip-pecan-pie
52853,Chocolate Avocado Mousse,,Dessert,British,https://www.themealdb.com/images/media/meals/uttuxy1511382180.jpg,https://www.youtube.com/watch?v=wuZffe60q4M,Banana,Cacao,Avocado,Honey,Lemon Juice,Vanilla,Water,Sea Salt,,,,,,,,,,,,,1,3 tbsp,1,2 tblsp ,1 tsp ,1 tsp ,2 tbsp,pinch,,,,,,,,,,,,,http://www.hemsleyandhemsley.com/recipe/chocolate-avocado-mousse/
52966,Chocolate Caramel Crispy,,Dessert,British,https://www.themealdb.com/images/media/meals/1550442508.jpg,https://www.youtube.com/watch?v=qsk_At_gjv0,Mars Bar,Butter,Rice Krispies,Milk Chocolate,,,,,,,,,,,,,,,,,6 chopped,150g,120g,150g, , , , , , , , , , , , , , , , ,http://www.donalskehan.com/recipes/chocolate-caramel-rice-crispy-treats/
52776,Chocolate Gateau,,Dessert,French,https://www.themealdb.com/images/media/meals/tqtywx1468317395.jpg,https://www.youtube.com/watch?v=dsJtgmAhFF4,Plain chocolate,Butter,Milk,Eggs,Granulated Sugar,Flour,,,,,,,,,,,,,,,250g,175g,2 tablespoons,5,175g,125g,,,,,,,,,,,,,,,http://www.goodtoknow.co.uk/recipes/536028/chocolate-gateau
52860,Chocolate Raspberry Brownies,,Dessert,American,https://www.themealdb.com/images/media/meals/yypvst1511386427.jpg,https://www.youtube.com/watch?v=Pi89PqsAaAg,Dark Chocolate,Milk Chocolate,Salted Butter,Light Brown Soft Sugar,Eggs,Plain Flour,Cocoa,Raspberries,,,,,,,,,,,,,200g,100g ,250g,400g,4 large,140g,50g,200g,,,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/2121648/bestever-chocolate-raspberry-brownies
52905,Chocolate Souffle,,Dessert,French,https://www.themealdb.com/images/media/meals/twspvx1511784937.jpg,https://www.youtube.com/watch?v=FWqfkUEWOTg,Single Cream,Caster Sugar,Dark Chocolate,Butter,Butter,Caster Sugar,Dark Chocolate,Double Cream,Egg Yolks,Egg White,Double Cream,Icing Sugar,,,,,,,,,142ml,25g,100g ,25g,drizzle,50g,175g,2 tbs,4,5,2 tbs,to serve,,,,,,,,,https://www.bbcgoodfood.com/recipes/5816/hot-chocolate-souffls-with-chocolate-cream-sauce
52788,Christmas Pudding Flapjack,,Dessert,British,https://www.themealdb.com/images/media/meals/vvusxs1483907034.jpg,https://www.youtube.com/watch?v=OaqvGvEiwzU,salted butter,dark soft brown sugar,golden syrup,orange,rolled oats,Christmas pudding,,,,,,,,,,,,,,,250g,225g,150g,Zest of 1,500g,250g,,,,,,,,,,,,,,,
52899,Dundee cake,,Dessert,British,https://www.themealdb.com/images/media/meals/wxyvqq1511723401.jpg,https://www.youtube.com/watch?v=4hEXsfpeMQE,Almonds,Butter,Muscovado Sugar,Orange,Apricot Jam,Plain Flour,Baking Powder,Eggs,Ground Almonds,Milk,Dried Fruit,Glace Cherry,Milk,Caster Sugar,,,,,,,100g ,180g,180g,Zest of 1,3 tbs,225g,1 tsp ,3 Large,100g ,2 tbs,500g,100g ,1 tbs,2 tsp,,,,,,,https://www.bbcgoodfood.com/recipes/2155640/dundee-cake
52888,Eccles Cakes,,Dessert,British,https://www.themealdb.com/images/media/meals/wtqrqw1511639627.jpg,https://www.youtube.com/watch?v=xV0QCJ0GD5w,Butter,Plain Flour,Lemon,Butter,Currants,Mixed Peel,Muscovado Sugar,Cinnamon,Ginger,Allspice,Lemon,Eggs,Sugar,,,,,,,,250g,350g,Juice of 1/2,25g,200g,50g,100g ,1 tsp ,1 tsp ,1 tsp ,Zest of 1,1 beaten,spinkling,,,,,,,,https://www.bbcgoodfood.com/recipes/786659/eccles-cakes
52791,Eton Mess,,Dessert,British,https://www.themealdb.com/images/media/meals/uuxwvq1483907861.jpg,https://www.youtube.com/watch?v=43WgiNq54L8,strawberries,double cream,meringue nests,ginger cordial,Mint,,,,,,,,,,,,,,,,500g,400ml,3 x 7.5cm,1 tbsp,sprigs of fresh,,,,,,,,,,,,,,,,
52787,Hot Chocolate Fudge,,Dessert,American,https://www.themealdb.com/images/media/meals/xrysxr1483568462.jpg,https://www.youtube.com/watch?v=oJvbsVSblfk,Chocolate Chips,Heavy Cream,Condensed Milk,Vanilla Extract,White Chocolate Chips,Miniature Marshmallows,,,,,,,,,,,,,,,2 cups,2 tbs,1 – 14-ounce can,1 tsp,1-⅓ cups,1-½ cups,,,,,,,,,,,,,,,
52890,Jam Roly-Poly,,Dessert,British,https://www.themealdb.com/images/media/meals/ysqupp1511640538.jpg,https://www.youtube.com/watch?v=5ZYWVQ8imVA,Butter,Self-raising Flour,Vanilla,Suet,Milk,Raspberry Jam,Custard,,,,,,,,,,,,,,50g,250g,1 small,50g,150ml,100g ,to serve,,,,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/13354/jam-rolypoly
52859,Key Lime Pie,,Dessert,American,https://www.themealdb.com/images/media/meals/qpqtuu1511386216.jpg,https://www.youtube.com/watch?v=q4Rz7tUkX9A,Digestive Biscuits,Butter,Condensed Milk,Egg Yolks,Lime,Double Cream,Icing Sugar,Lime,,,,,,,,,,,,,300g,150g,400g,3,4,300ml ,1 tbls,to serve,,,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/2155644/key-lime-pie
52900,Madeira Cake,,Dessert,British,https://www.themealdb.com/images/media/meals/urtqut1511723591.jpg,https://www.youtube.com/watch?v=-YDh4WEmK_E,Butter,Caster Sugar,Eggs,Self-raising Flour,Milk,Lemon,Mixed Peel,,,,,,,,,,,,,,175g,175g,3,250g,3 tbs,Zest of 1,To Glaze,,,,,,,,,,,,,,https://www.bbc.co.uk/food/recipes/madeiracake_73878
52924,Nanaimo Bars,,Dessert,Canadian,https://www.themealdb.com/images/media/meals/vwuprt1511813703.jpg,https://www.youtube.com/watch?v=MMrE4I1ZtWo,Custard,Caster Sugar,Cocoa,Egg,Digestive Biscuits,Desiccated Coconut,Almonds,Butter,Double Cream,Custard Powder,Icing Sugar,Dark Chocolate,Butter,,,,,,,,125g,50g,5 tbs,1 beaten,200g shredded,100g ,50g,100g ,4 tbs,3 tbs,250g,150g,50g,,,,,,,,https://www.bbcgoodfood.com/recipes/nanaimo-bars
52858,New York cheesecake,,Dessert,American,https://www.themealdb.com/images/media/meals/swttys1511385853.jpg,https://www.youtube.com/watch?v=tspdJ6hxqnc,Butter,Sour Cream,Sugar,Cream Cheese,Caster Sugar,Plain Flour,Lemon Juice,Eggs,Sour Cream,Sour Cream,Caster Sugar,Lemon Juice,,,,,,,,,85g,140g,1tbsp,900g,250g,3 tbs,1 ½ teaspoons,3 Large,250ml,150ml,1 tbsp,2 tsp,,,,,,,,,https://www.bbcgoodfood.com/recipes/2869/new-york-cheesecake
52854,Pancakes,,Dessert,American,https://www.themealdb.com/images/media/meals/rwuyqx1511383174.jpg,https://www.youtube.com/watch?v=LWuuCndtJr0,Flour,Eggs,Milk,Sunflower Oil,Sugar,Raspberries,Blueberries,,,,,,,,,,,,,,100g ,2 large,300ml ,1 tbls,to serve,to serve,to serve,,,,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/2907669/easy-pancakes
52902,Parkin Cake,,Dessert,British,https://www.themealdb.com/images/media/meals/qxuqtt1511724269.jpg,https://www.youtube.com/watch?v=k1lG4vk2MQA,Butter,Egg,Milk,Golden Syrup,Black Treacle,Brown Sugar,Oatmeal,Self-raising Flour,Ground Ginger,,,,,,,,,,,,200g,1 large,4 tbs,200g,85g,85g,100g ,250g,1 tbs,,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/1940684/parkin
52862,Peach & Blueberry Grunt,,Dessert,American,https://www.themealdb.com/images/media/meals/ssxvup1511387476.jpg,https://www.youtube.com/watch?v=SNeO28BCpsc,Corn Flour,Orange,Orange,Caster Sugar,Peaches,Blueberries,Self-raising Flour,Butter,Muscovado Sugar,Cinnamon,Milk,,,,,,,,,,1 tsp ,Juice of 2,Zest of 1,2 tbs,6,250g,200g,50g,100g ,1 tsp ,6 tblsp,,,,,,,,,,https://www.bbcgoodfood.com/recipes/1553651/peach-and-blueberry-grunt
52861,Peanut Butter Cheesecake,,Dessert,American,https://www.themealdb.com/images/media/meals/qtuuys1511387068.jpg,https://www.youtube.com/watch?v=QSTsturcyL0,Butter,Peanut Cookies,Gelatine Leafs,Ricotta,Peanut Butter,Golden Syrup,Milk,Double Cream,Light Brown Soft Sugar,Peanut Brittle,,,,,,,,,,,50g,175g,5,500g,175g,175g,150ml,275ml,2 tblsp ,Crushed,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/1759649/peanut-butter-cheesecake
52958,Peanut Butter Cookies,,Dessert,American,https://www.themealdb.com/images/media/meals/1544384070.jpg,,Peanut Butter,Sugar,Egg,,,,,,,,,,,,,,,,,,1 cup ,1/2 cup ,1,,,,,,,,,,,,,,,,,,https://tasty.co/recipe/3-ingredient-peanut-butter-cookies
52916,Pear Tarte Tatin,,Dessert,French,https://www.themealdb.com/images/media/meals/rxvxrr1511797671.jpg,https://www.youtube.com/watch?v=8U1tKWKDeWA,Pears,Caster Sugar,Butter,Star Anise,Cardamom,Cinnamon,Brandy,Puff Pastry,,,,,,,,,,,,,8,100g ,100g ,2,3 Pods,1 large,2 tbs,500g,,,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/4778/pear-tarte-tatin
52932,Pouding chomeur,,Dessert,Canadian,https://www.themealdb.com/images/media/meals/yqqqwu1511816912.jpg,https://www.youtube.com/watch?v=WFvj71RZYPc,Butter,Sugar,Eggs,Vanilla Extract,Flour,Baking Powder,Milk,Maple Syrup,Brown Sugar,Single Cream,Butter,,,,,,,,,,½ cup ,1 cup ,2,1 tsp ,2 cups ,1 tsp ,1 1/4 cup,1 1/2 cup ,1 1/2 cup ,1 1/2 cup ,1/3 cup,,,,,,,,,,http://www.geniuskitchen.com/recipe/pouding-chomeur-poor-mans-pudding-with-maple-syrup-sauce-218797
