id,name,strDrinkAlternate,strCategory,strArea,strMealThumb,strYoutube,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient16,strIngredient17,strIngredient18,strIngredient19,strIngredient20,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strMeasure16,strMeasure17,strMeasure18,strMeasure19,strMeasure20,strSource
52885, Bubble & Squeak,,Pork,British,https://www.themealdb.com/images/media/meals/xusqvw1511638311.jpg,https://www.youtube.com/watch?v=etbJ9ssgsWY,Butter,Bacon,Onion,Garlic Clove,Brussels Sprouts,Potatoes,,,,,,,,,,,,,,,1 tbs,4,1 finely sliced,1 chopped,20,400g,,,,,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/164622/bubble-and-squeak
52954,Hot and Sour Soup,,Pork,Chinese,https://www.themealdb.com/images/media/meals/1529445893.jpg,https://www.youtube.com/watch?v=KgV9Zq3aSTo,Mushrooms,Wood Ear Mushrooms,Tofu,Pork,Chicken Stock,Salt,Sugar,Sesame Seed Oil,Pepper,Hotsauce,Vinegar,Soy Sauce,Cornstarch,Water,Spring Onions,,,,,,1/3 cup,1/3 cup,2/3 Cup,1/2 cup ,2-1/2 cups,1/2 tsp,1/4 tsp,1 tsp ,1/4 tsp,1/2 tsp,1-½ cups,1 tsp ,1 tbs,2 tbs,1/4 cup,,,,,,https://sueandgambo.com/pages/chinese-hot-and-sour-soup
52847,Pork Cassoulet,,Pork,French,https://www.themealdb.com/images/media/meals/wxuvuv1511299147.jpg,https://www.youtube.com/watch?v=MEdHMTD0VCA,Goose Fat,Pork,Onion,Garlic,Carrots,Fennel Seeds,Red Wine Vinegar,Vegetable Stock,Tomato Puree,Rosemary,Parsley,Haricot Beans,Breadcrumbs,Oil,Bread,Broccoli,,,,,4 tbsp,350g,1 large,10,1 thinly sliced,1 tsp ,2 tblsp ,600ml,1 tblsp ,2 sticks,Handful,400g,2 tblsp ,drizzle,to serve,to serve,,,,,https://www.bbcgoodfood.com/recipes/jacks-pork-cassoulet
52949,Sweet and Sour Pork,,Pork,Chinese,https://www.themealdb.com/images/media/meals/1529442316.jpg,https://www.youtube.com/watch?v=mdaBIhgEAMo,Pork,Egg,Water,Salt,Sugar,Soy Sauce,Starch,Tomato Puree,Vinegar,Coriander,,,,,,,,,,,200g,1,Dash,1/2 tsp,1 tsp ,10g,10g,30g,10g,Dash,,,,,,,,,,,https://www.chinahighlights.com/travelguide/chinese-food/cooking/sweet-sour-pork.htm
52822,Toad In The Hole,,Pork,British,https://www.themealdb.com/images/media/meals/ytuvwr1503070420.jpg,https://www.youtube.com/watch?v=t1dWkDrC330,sausages,vegetable oil,plain flour,eggs,horseradish,milk,cherry tomatoes,,,,,,,,,,,,,,8,3 tbsp,100g,2 medium,1 tbsp grated,225ml,200g,,,,,,,,,,,,,,http://www.deliciousmagazine.co.uk/recipes/georgina-fuggles-horseradish-and-vine-tomato-toad-in-the-hole/
52926,Tourtiere,,Pork,Canadian,https://www.themealdb.com/images/media/meals/ytpstt1511814614.jpg,https://www.youtube.com/watch?v=A96hbwobKKs,Potatoes,Sunflower Oil,Minced Pork,Onion,Garlic Clove,Cinnamon,Allspice,Nutmeg,Vegetable Stock,Shortcrust Pastry,Egg,,,,,,,,,,1 medium,1 tsp ,500g,1 finely chopped ,1 finely chopped ,¼ tsp,¼ tsp,¼ tsp,100ml,400g,To Glaze,,,,,,,,,,https://www.bbcgoodfood.com/recipes/531644/spiced-pork-and-potato-pie
52828,Vietnamese Grilled Pork (bun-thit-nuong),,Pork,Vietnamese,https://www.themealdb.com/images/media/meals/qqwypw1504642429.jpg,https://www.youtube.com/watch?v=Q3qcQcENzbU,Pork,Rice Vermicelli,Egg Rolls,Challots,Garlic,Sugar,Fish Sauce,Soy sauce,Pepper,Olive Oil,Cucumber,Mint,Peanuts,,,,,,,,1.5 pounds sliced,1 package thin,4-6,3 tablespoons minced,1.5 tablespoons minced garlic,¼ cup,1 tablespoon,½ tablespoon thick,½ tablespoon,3 tablespoons,Sliced,Leaves,Crushed,,,,,,,,http://www.hungryhuy.com/bun-thit-nuong-recipe-vietnamese-grilled-bbq-pork-with-rice-vermicelli-vegetables/
52948,Wontons,,Pork,Chinese,https://www.themealdb.com/images/media/meals/1525876468.jpg,https://www.youtube.com/watch?v=9h9No18ZyCI,Pork,Garlic Clove,Ginger,Soy Sauce,Sesame Seed Oil,Carrots,Celery,Spring Onions,Wonton Skin,Oil,Water,,,,,,,,,,1lb,3 chopped,1 tsp ,1 tbs,1 tsp ,3 finely chopped,3 finely chopped,6 chopped,1 Packet,Fry,Bottle,,,,,,,,,,http://www.geniuskitchen.com/recipe/chinese-wontons-20235
