id,name,strDrinkAlternate,strCategory,strArea,strMealThumb,strYoutube,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient16,strIngredient17,strIngredient18,strIngredient19,strIngredient20,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strMeasure16,strMeasure17,strMeasure18,strMeasure19,strMeasure20,strSource
52942,Roast fennel and aubergine paella,,Vegan,Spanish,https://www.themealdb.com/images/media/meals/1520081754.jpg,https://www.youtube.com/watch?v=H5SmjR-fxUs,Baby Aubergine,Fennel,Red Pepper,Courgettes,Onion,Paella Rice,Paprika,Saffron,White Wine,Vegetable Stock,Frozen Peas,Lemon,Parsley,Salt,Black Pepper,,,,,,6 small,4 small,1 thinly sliced,1 medium,1 finely chopped ,300g,1 tsp ,pinch,200ml,700ml,100g ,1 chopped,Handful,pinch,pinch,,,,,,https://www.homestylemag.co.uk/recipe/517/main-courses/roast-fennel-and-aubergine-paella
52794,Vegan Chocolate Cake,,Vegan,American,https://www.themealdb.com/images/media/meals/qxutws1486978099.jpg,https://www.youtube.com/watch?v=C3pAgB7pync,self raising flour,coco sugar,cacao,baking powder,flax eggs,almond milk,vanilla,water,,,,,,,,,,,,,1 1/4 cup,1/2 cup,1/3 cup raw,1 tsp,2,1/2 cup,1 tsp,1/2 cup boiling,,,,,,,,,,,,,
52775,Vegan Lasagna,,Vegan,Italian,https://www.themealdb.com/images/media/meals/rvxxuy1468312893.jpg,https://www.youtube.com/watch?v=VU8cXvlGbvc,green red lentils,carrot,onion,zucchini,coriander,spinach,lasagne sheets,vegan butter,flour,soya milk,mustard,vinegar,,,,,,,,,1 cups,1,1,1 small,sprinking,150g,10,35g,4 tablespoons,300ml,1.5 teaspoons,1 teaspoon,,,,,,,,,
