id,name,strDrinkAlternate,strCategory,strArea,strMealThumb,strYoutube,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient16,strIngredient17,strIngredient18,strIngredient19,strIngredient20,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strMeasure16,strMeasure17,strMeasure18,strMeasure19,strMeasure20,strSource
52842,Broccoli & Stilton soup,,Starter,British,https://www.themealdb.com/images/media/meals/tvvxpv1511191952.jpg,https://www.youtube.com/watch?v=_HgVLpmNxTY,Rapeseed Oil,Onion,Celery,Leek,Potatoes,Butter,Vegetable Stock,Broccoli,Stilton Cheese,,,,,,,,,,,,2 tblsp ,1 finely chopped ,1,1 sliced,1 medium,1 knob,1 litre hot,1 Head chopped,140g,,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/1940679/broccoli-and-stilton-soup
52840,Clam chowder,,Starter,American,https://www.themealdb.com/images/media/meals/rvtvuw1511190488.jpg,https://www.youtube.com/watch?v=fEN_fm6kX6k,Clams,Butter,Bacon,Onion,Thyme,Bay Leaf,Plain Flour,Milk,Double Cream,Potatoes,Parsley,,,,,,,,,,1½ kg,50g,150g,1 finely chopped ,sprigs of fresh,1,1 tbls,150ml,150ml,2 medium,Chopped,,,,,,,,,,https://www.bbcgoodfood.com/recipes/clam-chowder
52779,Cream Cheese Tart,,Starter,Unknown,https://www.themealdb.com/images/media/meals/wurrux1468416624.jpg,https://www.youtube.com/watch?v=UhQPwO4uymo,Flour,Butter,Egg,Salt,Cheese,Milk,Eggs,Parmesan Cheese,Plum tomatoes,White Vinegar,Honey,Basil,,,,,,,,,250g,125g,1,Pinch,300g,100ml milk,3,100g,350g,3tbsp,1 tbsp,Topping,,,,,,,,,https://www.instagram.com/p/BHyuMZ1hZX0
52841,Creamy Tomato Soup,,Starter,British,https://www.themealdb.com/images/media/meals/stpuws1511191310.jpg,https://www.youtube.com/watch?v=lBhwjjUiFk4,Olive Oil,Onions,Celery,Carrots,Potatoes,Bay Leaf,Tomato Puree,Sugar,White Vinegar,Chopped Tomatoes,Passata,Vegetable Stock Cube,Whole Milk,,,,,,,,3 tbsp,2 chopped,2 sticks,300g,500g,4,5 tblsp ,2 tblsp ,2 tblsp ,1½ kg,500g,3,400ml,,,,,,,,https://www.bbcgoodfood.com/recipes/2604646/creamy-tomato-soup
