id,name,strDrinkAlternate,strCategory,strArea,strMealThumb,strYoutube,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient16,strIngredient17,strIngredient18,strIngredient19,strIngredient20,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strMeasure16,strMeasure17,strMeasure18,strMeasure19,strMeasure20,strSource
52914,Boulangère Potatoes,,Side,French,https://www.themealdb.com/images/media/meals/qywups1511796761.jpg,https://www.youtube.com/watch?v=gcXPruv1Mjg,Onions,Thyme,Olive Oil,Potatoes,Vegetable Stock,,,,,,,,,,,,,,,,2 finely chopped,sprigs of fresh,2 tbs,1.5kg,425g,,,,,,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/5056/boulangre-potatoes
52913,Brie wrapped in prosciutto & brioche,,Side,French,https://www.themealdb.com/images/media/meals/qqpwsy1511796276.jpg,https://www.youtube.com/watch?v=FzNPPD8lbWg,Plain Flour,Caster Sugar,Yeast,Milk,Eggs,Eggs,Butter,Brie,Prosciutto,,,,,,,,,,,,375g,50g,7g,75g,3 Large,To Glaze,180g,250g,8 slices,,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/1803634/brie-wrapped-in-prosciutto-and-brioche
52977,Corba,,Side,Turkish,https://www.themealdb.com/images/media/meals/58oia61564916529.jpg,https://www.youtube.com/watch?v=VVnZd8A84z4,Lentils,Onion,Carrots,Tomato Puree,Cumin,Paprika,Mint,Thyme,Black Pepper,Red Pepper Flakes,Vegetable Stock,Water,Sea Salt,,,,,,,,1 cup ,1 large,1 large,1 tbs,2 tsp,1 tsp ,1/2 tsp,1/2 tsp,1/4 tsp,1/4 tsp,4 cups ,1 cup ,Pinch, , , , , , , ,https://findingtimeforcooking.com/main-dishes/red-lentil-soup-corba/
52919,Fennel Dauphinoise,,Side,French,https://www.themealdb.com/images/media/meals/ytttsv1511798734.jpg,https://www.youtube.com/watch?v=tXBzZm2kkh8,Potatoes,Fennel,Garlic,Milk,Double Cream,Butter,Parmesan Cheese,,,,,,,,,,,,,,225g,1 small,1 clove finely chopped,75 ml ,100ml,For Greasing,to serve,,,,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/fennel-dauphinoise
52903,French Onion Soup,,Side,French,https://www.themealdb.com/images/media/meals/xvrrux1511783685.jpg,https://www.youtube.com/watch?v=-DLDMQucqDI,Butter,Olive Oil,Onion,Sugar,Garlic Clove,Plain Flour,Dry White Wine,Beef Stock,Bread,Gruyère,,,,,,,,,,,50g,1 tbs,1 kg,1 tsp ,4 sliced,2 tbs,250ml,1L,4 sliced,140g,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/3020694/french-onion-soup
52978,Kumpir,,Side,Turkish,https://www.themealdb.com/images/media/meals/mlchx21564916997.jpg,https://www.youtube.com/watch?v=IEDEtZ4UVtI,Potatoes,Butter,Cheese,Onion,Red Pepper,Red Chile Flakes,,,,,,,,,,,,,,,2 large,2 tbs,150g,1 large,1 large,Pinch, , , , , , , , , , , , , , ,http://www.turkeysforlife.com/2013/10/firinda-kumpir-turkish-street-food.html
52922,Prawn & Fennel Bisque,,Side,French,https://www.themealdb.com/images/media/meals/rtwwvv1511799504.jpg,https://www.youtube.com/watch?v=4thpMbDakgM,Tiger Prawns,Olive Oil,Onion,Fennel,Carrots,Dry White Wine,Brandy,Chopped Tomatoes,Fish Stock,Paprika,Double Cream,Prawns,,,,,,,,,450g,4 tbs,1 large,1 large,2 chopped,150ml,1 tbs,400g,1L,2 pinches,150ml,8,,,,,,,,,https://www.bbcgoodfood.com/recipes/71600/prawn-and-fennel-bisque
52925,Split Pea Soup,,Side,Canadian,https://www.themealdb.com/images/media/meals/xxtsvx1511814083.jpg,https://www.youtube.com/watch?v=qdhWz7qAaCU,Ham,Peas,Onions,Carrots,Bay Leaves,Celery,Frozen Peas,Bread,,,,,,,,,,,,,1kg,200g (soaked overnight),2 chopped,2 chopped,2,1 chopped,300g,to serve,,,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/1022639/split-pea-and-green-pea-smoked-ham-soup
