id,name,strDrinkAlternate,strCategory,strArea,strMealThumb,strYoutube,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient16,strIngredient17,strIngredient18,strIngredient19,strIngredient20,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strMeasure16,strMeasure17,strMeasure18,strMeasure19,strMeasure20,strSource
52839,Chilli prawn linguine,,Pasta,Italian,https://www.themealdb.com/images/media/meals/usywpp1511189717.jpg,https://www.youtube.com/watch?v=SC17Mc70Db0,Linguine Pasta,Sugar Snap Peas,Olive Oil,Garlic Clove,Red Chilli,King Prawns,Cherry Tomatoes,Basil Leaves,Lettuce,Bread,Fromage Frais,Lime,Caster Sugar,,,,,,,,280g,200g,2 tblsp ,2 cloves chopped,1 large,24 Skinned,12,Handful,Leaves,to serve,2 tbsp,Grated Zest of 2,2 tsp,,,,,,,,https://www.bbcgoodfood.com/recipes/1269/chilli-prawn-linguine
52835,Fettucine alfredo,,Pasta,Italian,https://www.themealdb.com/images/media/meals/uquqtu1511178042.jpg,https://www.youtube.com/watch?v=FLEnwZvGzOE,Clotted Cream,Butter,Corn Flour,Parmesan Cheese,Nutmeg,Fettuccine,Parsley,,,,,,,,,,,,,,227g,25g,1 tsp ,100g ,Grated,250g,Chopped,,,,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/fettucine-alfredo
52829,Grilled Mac and Cheese Sandwich,,Pasta,American,https://www.themealdb.com/images/media/meals/xutquv1505330523.jpg,https://www.youtube.com/watch?v=PYq31xLj-DY,Macaroni,Plain Flour,Mustard Powder,Garlic powder,Kosher salt,Black pepper,Cayenne pepper,Butter,Whole Milk,Heavy Cream,Monterey Jack Cheese,Butter,garlic powder,Bread,Cheddar Cheese,Colby Jack Cheese,Butter,,,,8 ounces (230 grams),1/3 cup,3/4 teaspoon,1/2 teaspoon,1/2 teaspoon,1/2 teaspoon,1/8 teaspoon,6 tablespoons (85 grams),1 1/2 cups (360 milliliters),1 cup (240 milliliters),1 pound (455 grams) ,4 tablespoons (55 grams),1 teaspoon,16 slices square,8 slices mild,8 slices,4 tablespoons (55 grams),,,,https://leitesculinaria.com/103647/recipes-grilled-mac-and-cheese-sandwich.html
52844,Lasagne,,Pasta,Italian,https://www.themealdb.com/images/media/meals/wtsvxx1511296896.jpg,https://www.youtube.com/watch?v=gfhfsBPt46s,Olive Oil,Bacon,Onion,Celery,Carrots,Garlic,Minced Beef,Tomato Puree,Chopped Tomatoes,Honey,Lasagne Sheets,Creme Fraiche,Mozzarella Balls,Parmesan Cheese,Basil Leaves,,,,,,1 tblsp ,2,1 finely chopped ,1 Stick,1 medium,2 cloves chopped,500g,1 tbls,800g,1 tblsp ,500g,400ml,125g,50g,Topping,,,,,,https://www.bbcgoodfood.com/recipes/classic-lasagne
52837,Pilchard puttanesca,,Pasta,Italian,https://www.themealdb.com/images/media/meals/vvtvtr1511180578.jpg,https://www.youtube.com/watch?v=wqZzLAPmr9k,Spaghetti,Olive Oil,Onion,Garlic,Red Chilli,Tomato Puree,Pilchards,Black Olives,Parmesan,,,,,,,,,,,,300g,1 tbls,1 finely chopped ,2 cloves minced,1,1 tbls,425g,70g,Shaved,,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/pilchard-puttanesca
52838,Venetian Duck Ragu,,Pasta,Italian,https://www.themealdb.com/images/media/meals/qvrwpt1511181864.jpg,https://www.youtube.com/watch?v=oWQDVgjB_Lw,Olive Oil,Duck Legs,Onions,Garlic,Cinnamon,Plain Flour,Red Wine,Chopped Tomatoes,Chicken Stock Cube,Rosemary,Bay Leaves,Sugar,Milk,Paccheri Pasta,Parmesan Cheese,,,,,,1 tbls,4,2 finely chopped,2 cloves minced,2 tsp ground,2 tsp,250ml,800g,1,3 sprigs,2,1 tsp ,2 tbs,600g,Grated,,,,,,https://www.bbcgoodfood.com/recipes/venetian-duck-ragu
